dataset,model,seed,RGB_to_RGB,S2_to_S2,RGB_to_SAR,S2_to_SAR,RGB_to_NpS1S2,RGB_to_RGBN,S2_to_S2SAR
bigearthnet,"TerraMind",42,66.75,52.59,25.19,1.64,12.86,61.53,54.61
bigearthnet,"TerraMind",123,67.92,56.05,5.27,0.19,10.03,62.29,58.16
bigearthnet,"TerraMind",322,66.66,54.28,19.12,2.21,15.04,61.11,56.42
bigearthnet,"TerraMind",456,67.08,50.95,8.71,0.76,11.86,61.89,55.23
bigearthnet,"TerraMind",789,67.05,55.55,13.72,1.47,11.89,62.19,57.73
bigearthnet,"TerraMind ❄",42,54.27,29.84,13.15,5.78,10.79,50.01,32.48
bigearthnet,"TerraMind ❄",123,53.76,29.96,15.54,5.2,13.22,50.59,32.39
bigearthnet,"TerraMind ❄",322,53.11,30.13,13.48,7.91,10.27,48.78,33.17
bigearthnet,"TerraMind ❄",456,54.22,29.75,14.88,4.09,11.64,51.08,32.68
bigearthnet,"TerraMind ❄",789,54.76,30.02,14.66,5.68,10.3,50.93,31.6
brick-kiln,"TerraMind",123,98.4,98.1,66.37,66.37,66.87,98.2,85.59
brick-kiln,"TerraMind",322,98.6,98.3,66.37,66.37,66.67,98.4,85.79
brick-kiln,"TerraMind",456,98.8,98.7,66.37,66.37,66.67,98.5,85.99
brick-kiln,"TerraMind",789,98.5,98.1,66.47,66.37,66.57,98.7,85.79
brick-kiln,"TerraMind",42,98.7,98.1,66.37,66.37,66.57,98.6,85.59
brick-kiln,"TerraMind ❄",123,94.49,66.67,66.37,66.37,83.38,92.79,75.88
brick-kiln,"TerraMind ❄",322,94.59,65.77,66.37,66.37,82.78,92.59,76.28
brick-kiln,"TerraMind ❄",456,94.59,66.17,66.37,66.47,82.68,93.09,76.88
brick-kiln,"TerraMind ❄",789,93.99,63.76,66.37,66.47,83.18,92.49,73.97
brick-kiln,"TerraMind ❄",42,93.99,64.26,66.37,66.47,83.88,91.99,75.48
cashew,"TerraMind",42,51.46,73.71,5.68,3.19,13.28,38.69,3.28
cashew,"TerraMind",123,62.42,51.18,1.9,4.82,14.87,50.55,4.82
cashew,"TerraMind",322,52.25,72.61,4.79,1.59,9.98,34.54,1.6
cashew,"TerraMind",456,50.07,53.68,1.64,5.1,12.56,36.51,5.11
cashew,"TerraMind",789,55.62,63.53,6.94,1.81,14.16,39.35,1.96
cashew,"TerraMind ❄",42,41.12,44.59,5.34,2.79,10.15,27.66,4.83
cashew,"TerraMind ❄",123,40.31,44.43,2.23,4.69,9.49,28.62,4.66
cashew,"TerraMind ❄",322,39.74,38.76,4.22,5.41,8.65,27.68,4.38
cashew,"TerraMind ❄",456,41.87,43.62,2.72,5.99,10.14,29.53,4.91
cashew,"TerraMind ❄",789,30.87,46.97,2.85,4.91,9.08,21.57,6.19
eurosat,"TerraMind",123,95.6,84.1,24.9,23.1,19.1,86.4,79.9
eurosat,"TerraMind",322,96.3,82.8,11.1,14.1,21.2,87.6,81.8
eurosat,"TerraMind",456,97.2,84.1,20.9,17.2,18.8,89.9,83.3
eurosat,"TerraMind",789,96.4,93.1,24,11.7,21.3,93.3,86.2
eurosat,"TerraMind",42,96,85.9,22.4,12.5,19,91,81.4
eurosat,"TerraMind ❄",123,88.8,59,18.1,10.6,26.5,83.1,58.3
eurosat,"TerraMind ❄",322,88.6,58.3,17.8,10.8,26.9,83.1,58.9
eurosat,"TerraMind ❄",456,88.5,61.1,18.1,10.9,27.3,82.9,63.5
eurosat,"TerraMind ❄",789,88.8,58.9,17.8,10.6,26.3,83.3,57.2
eurosat,"TerraMind ❄",42,87.9,55.9,18.5,11,27.2,81.5,55.4
harvey-building,"TerraMind",42,45.76,51.94,34.59,38.11,7.58,32.72,38.07
harvey-building,"TerraMind",123,46.25,51.34,10.96,38.63,9.23,35.79,38.7
harvey-building,"TerraMind",322,46.68,50.64,38.49,2.12,4.91,35.48,2.12
harvey-building,"TerraMind",456,46.69,48.75,24.98,36.57,5.78,36.47,35.51
harvey-building,"TerraMind",789,47.57,52.98,2.25,38.16,4.3,34.38,38.1
harvey-building,"TerraMind ❄",42,41.78,44.6,1.92,0.1,5.6,34.17,0.01
harvey-building,"TerraMind ❄",123,39.31,47.42,12.59,25.82,7.16,30.98,21.81
harvey-building,"TerraMind ❄",322,43.79,46.26,0.01,37.5,5.77,37.79,33.58
harvey-building,"TerraMind ❄",456,42.44,46.38,0.04,38.33,3.82,34.02,34.18
harvey-building,"TerraMind ❄",789,42.8,46.28,21.29,0.2,6.87,34.91,8.87
harvey-flood,"TerraMind",42,67.3,70.21,0,0,33.31,50.9,0
harvey-flood,"TerraMind",123,70.94,73.21,0,0,33.64,53.59,0
harvey-flood,"TerraMind",322,69.39,72.9,0.02,0,32.46,51.34,0
harvey-flood,"TerraMind",456,68.83,73.02,0,0,32.04,51.29,0
harvey-flood,"TerraMind",789,69.52,73.43,0,0,29.63,52.19,0
harvey-flood,"TerraMind ❄",42,60.7,65.55,6.57,0.32,16.13,32.84,0.56
harvey-flood,"TerraMind ❄",123,60.88,66.98,3.51,0.03,19.95,29.87,0.02
harvey-flood,"TerraMind ❄",322,60.81,66.15,0.56,0.11,12.94,33.25,0.1
harvey-flood,"TerraMind ❄",456,60.92,66.67,7.3,0.06,15.29,30.37,0.03
harvey-flood,"TerraMind ❄",789,61,66.21,6.22,0.02,15.26,35.35,0.1
oscd,"TerraMind",123,35.35,29.97,0,0,27.85,23.04,0
oscd,"TerraMind",322,41.1,28.63,0,0,30.06,35.62,0
oscd,"TerraMind",456,35.18,37.89,0,0,33.03,33.15,0
oscd,"TerraMind",789,32.4,21.24,0,0,19.42,19.39,0
oscd,"TerraMind",42,36.21,29,0,0,27.86,32.85,0
oscd,"TerraMind ❄",123,40.13,29.04,15.98,0,23.25,27.52,0
oscd,"TerraMind ❄",322,37.36,28.35,13.37,0,19.41,27.94,0
oscd,"TerraMind ❄",456,38.01,24.47,0.5,1.31,23.07,27.26,0
oscd,"TerraMind ❄",789,35.29,20.74,17.54,8.75,19.07,20.86,5.46
oscd,"TerraMind ❄",42,35.85,23.97,13.38,14.58,25.35,21.63,7.56
sa-crop,"TerraMind",42,16.06,31.33,5.07,5.1,5.92,15.01,5.1
sa-crop,"TerraMind",123,21.31,27.69,2.1,5.07,6.86,20.12,5.07
sa-crop,"TerraMind",322,19.26,26.68,5.15,5.22,6.95,18.32,5.19
sa-crop,"TerraMind",456,20.8,28.15,5.15,5.07,6.92,19.78,5.07
sa-crop,"TerraMind",789,16.69,28.37,5.23,4.25,6.62,16.2,4.25
sa-crop,"TerraMind ❄",42,15.25,21.44,2.47,5.26,7.73,15.04,5.18
sa-crop,"TerraMind ❄",123,15.86,24.28,5.16,4.66,7.04,15.43,5.31
sa-crop,"TerraMind ❄",322,16.37,22.29,3.45,5.1,7.39,15.33,4.7
sa-crop,"TerraMind ❄",456,15.51,22.13,2.66,5.41,7.84,14.76,5.32
sa-crop,"TerraMind ❄",789,15.1,21.56,3.15,5.61,7.32,14.6,5.22
sen1floods11,"TerraMind",42,46.38,71.26,0.15,0,12.58,40.91,0
sen1floods11,"TerraMind",123,37.13,70.39,5.91,0,10.79,31.95,0
sen1floods11,"TerraMind",322,45.17,42.26,11.91,0,12.37,40.95,0
sen1floods11,"TerraMind",456,43.4,42.26,17.1,0,21.97,37.82,0
sen1floods11,"TerraMind",789,50.72,69.64,0.37,0,7.03,40.08,0
sen1floods11,"TerraMind ❄",42,42.75,68.52,0.17,0.12,6.73,33.59,0.05
sen1floods11,"TerraMind ❄",123,40.71,68.97,0.31,0,5.41,28.09,0
sen1floods11,"TerraMind ❄",322,28.48,68.67,7.36,11.22,7.58,21.81,7.12
sen1floods11,"TerraMind ❄",456,38.78,68.41,16.34,0,5.94,29.77,0
sen1floods11,"TerraMind ❄",789,14.02,68.36,10.46,0,13.95,11.89,0
so2sat,"TerraMind",123,54.87,46.35,5.88,5.98,12.78,41.08,49.49
